Subregión,Municipio,Cantidad,Año
Norte,Alcalá,1,2019
Centro,Andalucía,0,2019
Norte,Ansermanuevo,0,2019
Norte,Argelia,0,2019
Norte,Bolívar,0,2019
Occidente,Buenaventura,3,2019
Centro,Buga,0,2019
Centro,Bugalagrande,0,2019
Oriente,Caicedonia,0,2019
Sur,Cali,10,2019
Sur,Candelaria,2,2019
Norte,Cartago,1,2019
Sur,Dagua,1,2019
Centro,Calima - El Darién,0,2019
Norte,El Águila,0,2019
Norte,El Cairo,0,2019
Centro,El Cerrito,0,2019
Norte,El Dovio,0,2019
Sur,Florida,0,2019
Centro,Ginebra,0,2019
Centro,Guacarí,0,2019
Sur,Jamundí,0,2019
Sur,La Cumbre,0,2019
Norte,La Unión,0,2019
Norte,La Victoria,1,2019
Norte,Obando,0,2019
Sur,Palmira,4,2019
Sur,Pradera,1,2019
Centro,Restrepo,0,2019
Centro,Riofrío,0,2019
Norte,Roldanillo,0,2019
Centro,San Pedro,0,2019
Oriente,Sevilla,0,2019
Norte,Toro,0,2019
Centro,Trujillo,0,2019
Centro,Tuluá,1,2019
Norte,Ulloa,0,2019
Norte,Versalles,0,2019
Sur,Vijes,0,2019
Centro,Yotoco,0,2019
Sur,Yumbo,0,2019
Norte,Zarzal,0,2019
Norte,Alcalá,1,2020
Centro,Andalucía,1,2020
Norte,Ansermanuevo,0,2020
Norte,Argelia,0,2020
Norte,Bolívar,0,2020
Occidente,Buenaventura,2,2020
Centro,Buga,0,2020
Centro,Bugalagrande,0,2020
Oriente,Caicedonia,0,2020
Sur,Cali,20,2020
Sur,Candelaria,0,2020
Norte,Cartago,1,2020
Sur,Dagua,0,2020
Centro,Calima - El Darién,0,2020
Norte,El Águila,0,2020
Norte,El Cairo,0,2020
Centro,El Cerrito,0,2020
Norte,El Dovio,0,2020
Sur,Florida,0,2020
Centro,Ginebra,0,2020
Centro,Guacarí,0,2020
Sur,Jamundí,1,2020
Sur,La Cumbre,2,2020
Norte,La Unión,0,2020
Norte,La Victoria,0,2020
Norte,Obando,0,2020
Sur,Palmira,0,2020
Sur,Pradera,0,2020
Centro,Restrepo,0,2020
Centro,Riofrío,0,2020
Norte,Roldanillo,0,2020
Centro,San Pedro,0,2020
Oriente,Sevilla,0,2020
Norte,Toro,0,2020
Centro,Trujillo,0,2020
Centro,Tuluá,1,2020
Norte,Ulloa,0,2020
Norte,Versalles,0,2020
Sur,Vijes,1,2020
Centro,Yotoco,0,2020
Sur,Yumbo,1,2020
Norte,Zarzal,0,2020
Norte,Alcalá,0,2022
Centro,Andalucía,0,2022
Norte,Ansermanuevo,0,2022
Norte,Argelia,0,2022
Norte,Bolívar,0,2022
Occidente,Buenaventura,2,2022
Centro,Buga,0,2022
Centro,Bugalagrande,0,2022
Oriente,Caicedonia,0,2022
Sur,Cali,10,2022
Sur,Candelaria,0,2022
Norte,Cartago,1,2022
Sur,Dagua,1,2022
Centro,Calima-El Darién,0,2022
Norte,El Águila,0,2022
Norte,El Cairo,0,2022
Centro,El Cerrito,0,2022
Norte,El Dovio,0,2022
Sur,Florida,0,2022
Centro,Ginebra,0,2022
Centro,Guacarí,0,2022
Sur,Jamundí,0,2022
Sur,La Cumbre,1,2022
Norte,La Unión,0,2022
Norte,La Victoria,0,2022
Norte,Obando,0,2022
Sur,Palmira,1,2022
Sur,Pradera,0,2022
Centro,Restrepo,0,2022
Centro,Riofrío,0,2022
Norte,Roldanillo,1,2022
Centro,San Pedro,0,2022
Oriente,Sevilla,0,2022
Norte,Toro,0,2022
Centro,Trujillo,0,2022
Centro,Tuluá,0,2022
Norte,Ulloa,0,2022
Norte,Versalles,0,2022
Sur,Vijes,0,2022
Centro,Yotoco,0,2022
Sur,Yumbo,1,2022
Norte,Zarzal,0,2022
Norte,Alcalá,0,2021
Centro,Andalucía,0,2021
Norte,Ansermanuevo,0,2021
Norte,Argelia,0,2021
Norte,Bolívar,0,2021
Occidente,Buenaventura,0,2021
Centro,Buga,2,2021
Centro,Bugalagrande,0,2021
Oriente,Caicedonia,0,2021
Sur,Cali,7,2021
Sur,Candelaria,0,2021
Norte,Cartago,0,2021
Sur,Dagua,0,2021
Centro,Calima-El Darién,0,2021
Norte,El Águila,0,2021
Norte,El Cairo,0,2021
Centro,El Cerrito,1,2021
Norte,El Dovio,0,2021
Sur,Florida,0,2021
Centro,Ginebra,0,2021
Centro,Guacarí,0,2021
Sur,Jamundí,0,2021
Sur,La Cumbre,0,2021
Norte,La Unión,0,2021
Norte,La Victoria,0,2021
Norte,Obando,0,2021
Sur,Palmira,1,2021
Sur,Pradera,0,2021
Centro,Restrepo,1,2021
Centro,Riofrío,2,2021
Norte,Roldanillo,0,2021
Centro,San Pedro,0,2021
Oriente,Sevilla,1,2021
Norte,Toro,0,2021
Centro,Trujillo,1,2021
Centro,Tuluá,2,2021
Norte,Ulloa,0,2021
Norte,Versalles,0,2021
Sur,Vijes,1,2021
Centro,Yotoco,1,2021
Sur,Yumbo,2,2021
Norte,Zarzal,0,2021
